H,H,H,H,H,H,W,W,W,G,G,G,G,G,G,G,G,W,W,M,M,M,M,M,M
H,HN,H,H,H,H,W,W,W,G,G,G,G,G,G,G,G,W,W,M,M,M,M,M,M
H,H,H,H,H,H,W,W,W,G,GN,G,G,G,G,G,G,W,W,M,MN,M,M,M,M
H,H,H,H,H,H,HD,W,W,G,G,G,G,G,G,G,GR,W,W,M,M,M,M,M,M
W,W,W,W,W,W,W,W,W,G,G,G,G,G,G,G,G,W,W,M,M,M,M,M,M
W,W,W,W,W,W,W,W,W,G,G,G,G,G,G,G,G,W,W,M,M,MD,M,M,M
S,S,S,S,S,W,W,W,W,G,G,GD,G,G,G,W,W,W,W,W,W,W,W,W,W
S,SN,S,S,S,SR,W,W,W,W,W,W,W,W,W,W,W,W,W,W,A,A,A,A,A
S,S,S,S,S,S,W,W,K,K,K,K,K,K,K,K,W,W,W,W,A,A,A,A,A
S,S,S,S,S,W,W,W,K,K,K,K,K,K,K,K,W,W,W,AL,A,A,A,A,A
W,W,W,W,W,W,W,W,K,K,K,K,K,K,K,K,W,W,W,A,AN,A,A,A,A
C,C,C,C,C,C,W,W,K,K,K,K,K,K,K,K,W,W,W,W,A,A,A,A,A
C,CN,C,C,C,C,W,W,K,K,K,K,K,K,K,K,W,W,W,W,A,A,A,A,A
C,C,C,C,C,C,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
C,C,C,CD,C,C,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,B,B,B,BU,BU,BU,B,B,W,W,R,R,RU,RU,R,R
W,W,W,W,W,W,W,W,W,B,B,B,B,B,B,B,B,W,W,R,R,R,R,R,R
L,L,L,L,L,L,W,W,W,B,B,B,B,B,B,B,B,W,W,RL,R,R,R,R,R
L,L,L,L,L,L,W,W,W,B,B,B,B,B,B,B,B,W,W,R,R,R,R,R,R
L,LN,L,L,L,L,W,W,W,B,B,BN,B,B,B,B,B,W,W,W,RN,R,R,R,R
L,L,L,L,L,LR,W,W,W,B,B,B,B,B,B,B,B,W,W,W,R,R,R,R,R
L,L,L,L,L,L,W,W,W,B,B,B,B,B,B,B,B,W,W,W,R,R,R,R,R
L,L,L,L,L,L,W,W,W,B,B,B,B,B,B,B,B,W,W,W,R,R,R,R,R
L,L,L,L,L,L,W,W,W,B,B,B,B,B,B,B,B,W,W,R,R,R,R,R,R
